2,SI,100
539.445,183.2046,0
491.9279,196.8052,0
558.4493,228.0606,0
546.4318,183.2806,0
465.46,230.0645,0
487.1823,318.4073,0
528.3081,166.7374,0
569.362,237.6918,0
531.1149,318.5552,0
486.7752,303.3324,0
522.3115,300.1617,0
509.0482,182.066,0
557.8582,274.1477,0
542.2961,185.7126,0
553.4096,192.3892,0
473.6392,288.3878,0
468.2073,226.5255,0
465.238,249.6447,0
553.435,294.0176,0
549.8383,209.2825,0
541.5003,308.1424,0
469.4908,205.8847,0
477.6981,268.9178,0
461.3599,275.872,0
470.5497,280.0679,0
541.6505,298.8475,0
558.0447,223.4271,0
459.6198,225.5386,0
557.3701,242.1452,0
551.9032,257.7292,0
482.9968,285.4635,0
555.7511,245.0215,0
557.8582,274.9872,0
462.9767,250.244,0
551.2351,211.679,0
479.6721,293.9345,0
551.5068,244.5592,0
487.5816,316.7296,0
466.3354,209.5277,0
472.7456,187.2776,0
553.7357,189.4966,0
469.4651,210.2026,0
536.2681,320.2713,0
545.1721,179.1648,0
482.5477,299.0037,0
535.8505,178.3749,0
543.5437,286.9113,0
474.7015,291.5054,0
565.468,250.9825,0
455.6311,260.0467,0
329.0471,125.7909,1
330.3892,154.0038,1
306.5846,203.8395,1
336.9441,134.9913,1
234.9705,180.3097,1
223.0606,162.2024,1
268.6665,211.8391,1
305.2,224.3793,1
217.0605,172.2242,1
282.8657,124.3352,1
275.7749,224.0548,1
317.4184,174.1172,1
344.3275,172.3958,1
222.3966,186.7977,1
250.3122,106.7081,1
292.9223,119.9631,1
280.8446,104.1986,1
301.4601,108.0179,1
297.3393,110.5792,1
255.8448,117.6084,1
232.5505,176.0937,1
272.9991,123.8665,1
315.5096,111.9213,1
218.6568,173.1126,1
228.9355,164.1226,1
268.9793,205.005,1
215.3942,179.4602,1
329.997,133.0609,1
257.2724,204.2741,1
279.0254,112.6451,1
279.1233,222.2366,1
233.6865,147.1861,1
320.6491,199.0664,1
325.5135,131.1576,1
303.4435,106.6713,1
274.3991,107.9296,1
239.6462,112.8678,1
226.3692,134.3205,1
310.4741,132.4619,1
217.625,153.1361,1
228.0856,127.777,1
314.5129,111.5075,1
279.2075,103.83,1
234.6952,211.9001,1
319.7559,136.4785,1
312.0036,116.3806,1
325.1569,129.9874,1
309.0025,204.8297,1
340.2879,177.3495,1
245.5459,110.4144,1
